nome,categoria_peso,idade,altura_cm,alcance_cm,pais,temporada,vitorias,derrotas,empates,kos,finalizacoes,media_quedas,tempo_medio_luta
Charles Oliveira,Peso Leve,36,178,188,Brasil,Carreira,37,11,0,10,22,0,0
Alex Pereira,Meio-Pesado,39,193,201,Brasil,Carreira,13,4,0,11,0,0,0
Anderson Silva,Médio,51,188,197,Brasil,Carreira,34,11,0,17,5,0,0
Islam Makhachev,Meio-Médio,34,178,178,Rússia,Carreira,29,1,0,5,13,0,0
Jon Jones,Peso Pesado,38,193,215,Estados Unidos,Carreira,28,1,0,11,7,0,0
Israel Adesanya,Médio,36,193,203,Nigéria,Carreira,24,6,0,16,0,0,0
Ilia Topuria,Peso Leve,29,170,175,Espanha,Carreira,17,1,0,7,8,0,0
Alexander Volkanovski,Peso Pena,37,168,181,Austrália,Carreira,28,4,0,13,3,0,0
Justin Gaethje,Peso Leve,37,180,178,Estados Unidos,Carreira,28,5,0,20,2,0,0
Sean O'Malley,Peso Galo,31,180,183,Estados Unidos,Carreira,20,3,0,13,1,0,0
Dricus Du Plessis,Médio,32,185,193,África do Sul,Carreira,24,3,0,9,11,0,0
Merab Dvalishvili,Peso Galo,35,168,173,Geórgia,Carreira,21,5,0,3,2,0,0
Max Holloway,Peso Leve,34,180,175,Estados Unidos,Carreira,28,9,0,13,2,0,0
Dustin Poirier,Peso Leve,37,175,183,Estados Unidos,Carreira,30,10,0,15,8,0,0
Conor McGregor,Peso Leve,38,175,188,Irlanda,Carreira,22,7,0,19,1,0,0
Kamaru Usman,Meio-Médio,39,183,193,Nigéria,Carreira,21,5,0,9,1,0,0
Jose Aldo,Peso Pena,39,170,178,Brasil,Carreira,32,10,0,17,1,0,0
Khabib Nurmagomedov,Peso Leve,37,178,178,Rússia,Carreira,29,0,0,8,11,0,0
Valentina Shevchenko,Peso Mosca,38,165,168,Quirguistão,Carreira,26,4,1,8,7,0,0
Leon Edwards,Meio-Médio,34,183,188,Inglaterra,Carreira,22,6,0,7,3,0,0
