nome,categoria_peso,idade,altura_cm,alcance_cm,pais,temporada,vitorias,derrotas,empates,kos,finalizacoes,media_quedas,tempo_medio_luta
Amanda Nunes,Peso Galo,38,173,175,Brasil,Carreira,23,5,0,13,4,0,0
Cris Cyborg,Peso Pena,41,173,173,Brasil,Carreira,28,2,0,21,1,0,0
Georges St-Pierre,Meio-Médio,45,178,193,Canadá,Carreira,26,2,0,8,6,0,0
Demetrious Johnson,Peso Mosca,40,160,165,Estados Unidos,Carreira,25,4,1,5,12,0,0
Stipe Miocic,Peso Pesado,44,193,203,Estados Unidos,Carreira,21,5,0,15,1,0,0
Francis Ngannou,Peso Pesado,39,193,211,Camarões,Carreira,18,3,0,15,4,0,0
Daniel Cormier,Peso Pesado,47,180,183,Estados Unidos,Carreira,22,3,0,10,5,0,0
Henry Cejudo,Peso Galo,39,163,163,Estados Unidos,Carreira,16,4,0,7,1,0,0
Joanna Jedrzejczyk,Peso Palha,39,168,167,Polônia,Carreira,16,5,0,4,1,0,0
Zhang Weili,Peso Palha,37,163,160,China,Carreira,27,3,0,11,9,0,0
Rose Namajunas,Peso Palha,34,165,165,Estados Unidos,Carreira,14,7,0,2,6,0,0
Robert Whittaker,Médio,35,182,183,Austrália,Carreira,27,8,0,10,5,0,0
Paulo Costa,Médio,35,185,183,Brasil,Carreira,15,4,0,11,1,0,0
Jared Cannonier,Médio,42,180,197,Estados Unidos,Carreira,18,9,0,10,2,0,0
Aljamain Sterling,Peso Galo,37,170,180,Estados Unidos,Carreira,24,5,0,3,8,0,0
Petr Yan,Peso Galo,33,170,170,Rússia,Carreira,18,6,0,7,1,0,0
Brandon Moreno,Peso Mosca,32,170,178,México,Carreira,23,9,2,5,11,0,0
Deiveson Figueiredo,Peso Galo,37,165,173,Brasil,Carreira,24,5,1,9,6,0,0
Michael Chandler,Peso Leve,40,173,180,Estados Unidos,Carreira,23,9,0,11,7,0,0
Stephen Thompson,Meio-Médio,43,183,190,Estados Unidos,Carreira,17,8,1,8,1,0,0
